Rank,Country,Continent,Cumulative Volume,Lat,Long
1,Thailand,Asia,795454,15.870032,100.992541
2,Canada,North America,545000,56.130366,-106.346771
3,Philippines,Asia,327951,12.879721,121.774017
4,Saudi Arabia,Asia,135876,23.885942,45.079162
5,Belgium,Europe,134036,50.503887,4.469936
6,Mexico,North America,125394,23.634501,-102.552784
7,Italy,Europe,83127,41.87194,12.56738
8,Germany,Europe,80397,51.165691,10.451526
9,Guatemala,North America,75795,15.783471,-90.230759
10,Brazil,South America,75024,-14.235004,-51.92528
11,Israel,Asia,74316,31.046051,34.851612
12,Australia,Oceania,73346,-25.274398,133.775136
13,France,Europe,69715,46.227638,2.213749
14,United Arab Emirates,Asia,66718,23.424076,53.847818
15,South Africa,Africa,50327,-30.559482,22.937506
16,Switzerland,Europe,48264,46.818188,8.227512
17,Peru,South America,46532,-9.189967,-75.015152
18,Costa Rica,North America,44557,9.748917,-83.753428
19,India,Asia,42848,20.593684,78.96288
20,Turkey,Asia,42082,38.963745,35.243322
21,Tunisia,Africa,40921,33.886917,9.537499
22,Ukraine,Europe,38944,48.379433,31.16558
23,El Salvador,North America,38281,13.794185,-88.89653
24,Paraguay,South America,37107,-23.442503,-58.443832
25,Poland,Europe,37085,51.919438,19.145136
26,Colombia,South America,32620,4.570868,-74.297333
27,Lebanon,Asia,32475,33.854721,35.862285
28,Jamaica,North America,31854,18.109581,-77.297508
29,Pakistan,Asia,29512,30.375321,69.345116
30,Indonesia,Asia,28765,-0.789275,113.921327
31,Afghanistan,Asia,22831,33.93911,67.709953
32,Trinidad and Tobago,South America,22729,10.691803,-61.222503
33,Czech Republic,Europe,22337,49.817492,15.472962
34,Georgia,Asia,16582,42.315407,43.356892
35,New Zealand,Oceania,16441,-40.900557,174.885971
36,Spain,Europe,16018,40.463667,-3.74922
37,Bangladesh,Asia,15731,23.684994,90.356331
38,Argentina,South America,14412,-38.416097,-63.616672
39,Oman,Asia,13878,21.512583,55.923255
40,Norway,Europe,12930,60.472024,8.468946
41,Iraq,Asia,12171,33.223191,43.679291
42,Jordan,Asia,11706,30.585164,36.238414
43,Austria,Europe,11480,47.516231,14.550072
44,Chile,South America,11268,-35.675147,-71.542969
45,Sweden,Europe,11232,60.128161,18.643501
46,Denmark,Europe,11021,56.26392,9.501785
47,United Kingdom,Europe,10923,55.378051,-3.435973
48,Finland,Europe,10771,61.92411,25.748151
49,Bolivia,South America,10353,-16.290154,-63.588653
50,Dominican Republic,North America,10347,18.735693,-70.162651
51,Honduras,North America,10212,15.199999,-86.241905
52,Malaysia,Asia,9174,4.210484,101.975766
53,Panama,North America,8020,8.537981,-80.782127
54,Japan,Asia,7706,36.204824,138.252924
55,Taiwan,Asia,7691,23.69781,120.960515
56,Cote d'Ivoire,Africa,7508,7.54,-5.5471
57,Nicaragua,North America,6780,12.865416,-85.207229
58,Kosovo,Europe,6382,42.602636,20.902977
59,Kuwait,Asia,5950,29.31166,47.481766
60,Slovakia,Europe,5104,48.669026,19.699024
61,Bulgaria,Europe,3696,42.733883,25.48583
62,Namibia,Africa,3627,-22.95764,18.49041
63,Suriname,South America,3587,3.919305,-56.027783
64,Uruguay,South America,3459,-32.522779,-55.765835
65,Belize,North America,3100,17.189877,-88.49765
66,Kenya,Africa,3073,-0.023559,37.906193
67,Portugal,Europe,2940,39.399872,-8.224454
68,Serbia,Europe,2923,44.016521,21.005859
69,Russia,Asia,2867,61.52401,105.318756
70,Netherlands,Europe,2147,52.132633,5.291266
71,Bahamas,North America,1950,25.03428,-77.39628
72,Greece,Europe,1899,39.074208,21.824312
73,Zambia,Africa,1864,-13.133897,27.849332
74,Armenia,Asia,1685,40.069099,45.038189
75,Singapore,Asia,1558,1.352083,103.819836
